"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32D";;;
2;"U7";"Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering";1;"BME680";;;
3;"D1";"Diode_Bridge_Vishay_MBLS";1;"CD-MBL206SL";;;
4;"SW3";"1825232-1";1;"1825232-1";;;
5;"JP2";"PinHeader_1x02_P2.54mm_Vertical";1;"~RESET";;;
6;"JP1";"PinHeader_1x02_P2.54mm_Vertical";1;"PG_TO_~RESET";;;
7;"TRIAC_W1";"LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm";1;"Y2";;;
8;"SW1";"SW_PUSH_6mm_H8mm";1;"RESET";;;
9;"U10 U9 U11";"SMDIP-6_W9.53mm";3;"MOC3043";;;
10;"R48 R49 R47";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"820";;;
11;"SW2";"SW_PUSH_6mm_H8mm";1;"MODE";;;
12;"R1 R2";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"10K";;;
13;"C13";"CP_Elec_8x10";1;"220 uF";;;
14;"J11";"CUI_TBL002A-350-05GY-2GY";1;"HVAC";;;
15;"H4 H3 H2 H1";"MountingHole_3.2mm_M3_DIN965_Pad";4;"MountingHole_Pad";;;
16;"U4";"TO-252-2";1;"LD1086DT33TR";;;
17;"U3";"Texas_HSOP-8-1EP_3.9x4.9mm_P1.27mm_ThermalVias";1;"LMR36520";;;
18;"RV1";"RV_Disc_D7mm_W4mm_P5mm";1;"B72205S0400K101";;;
19;"R57 R56 R55";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"39";;;
20;"R41 R40 R39";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"180";;;
21;"R33 R32 R31";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";3;"270";;;
22;"R25 R24";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";2;"2K7";;;
23;"R23";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"9K1";;;
24;"R16";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"8K2";;;
25;"R15";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"120";;;
26;"R12";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"1K6";;;
27;"R11";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"24.9K";;;
28;"R10";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"100K";;;
29;"R9";"R_0805_2012Metric_Pad1.20x1.40mm_HandSolder";1;"20K";;;
30;"Q8 Q7 Q6";"TO-225-3_Vertical";3;"2N6073B";;;
31;"Q1";"LED_D5.0mm_Clear";1;"TEPT5700";;;
32;"L1";"L_Wuerth_WE-PD-Typ-LS";1;"15 uH";;;
33;"J7";"PinSocket_1x05_P2.54mm_Vertical";1;"PIR";;;
34;"J4";"PinSocket_1x06_P2.54mm_Vertical";1;"SERIAL";;;
35;"J3";"PinSocket_1x04_P2.54mm_Vertical";1;"DISP_SERIAL";;;
36;"F1";"Fuse_2920_7451Metric";1;"1.5A";;;
37;"TRIAC_Y1";"LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm";1;"Y1";;;
38;"TRIAC_G1";"LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm";1;"G";;;
39;"D4";"LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm";1;"5V";;;
40;"D3";"LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm";1;"STATUS";;;
41;"D2";"LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm";1;"3V3";;;
42;"C26 C25 C24";"C_0805_2012Metric";3;".01 uF";;;
43;"C22 C21 C11 C4 C2";"C_0805_2012Metric";5;"100 nF";;;
44;"C16 C15 C14";"C_1210_3225Metric";3;"47 uF";;;
45;"C12 C9";"CP_Elec_5x5.8";2;"10 uF";;;
46;"C8";"C_0805_2012Metric";1;"1 uF";;;
47;"C7";"C_0805_2012Metric";1;"220 nF";;;
48;"C6 C5";"C_0805_2012Metric";2;"4.7 uF";;;
49;"C3";"CP_Elec_16x17.5";1;"470 uF";;;
50;"C1";"C_0805_2012Metric";1;"10 uF";;;
